"Story","Title","Result","Date","Stability","Duration (s)"
"Store test with tags","This test will Create a new Store","SUCCESS","2020-05-29T18:02:04.053+01:00[Europe/London]","0.0","35.31"
"Store test with tags","This test will Create a new Store","SUCCESS","2020-05-29T18:02:04.053+01:00[Europe/London]","0.0","35.31"
"Product test with tags","This test will create a new products and verify its generated","SUCCESS","2020-05-29T18:02:04.255+01:00[Europe/London]","0.0","35.65"
"Product test with tags","This test will create a new products and verify its generated","SUCCESS","2020-05-29T18:02:04.255+01:00[Europe/London]","0.0","35.65"
"Store test with tags","This test will get store information by ID","ERROR","2020-05-29T18:02:41.980+01:00[Europe/London]","0.0","1.27"
"Product test with tags","This test will get the product information by ID","ERROR","2020-05-29T18:02:42.199+01:00[Europe/London]","0.0","1.3"
"Store test with tags","This test will update the store information and verify the updated information","FAILURE","2020-05-29T18:02:43.805+01:00[Europe/London]","0.0","1.84"
"Store test with tags","This test will update the store information and verify the updated information","FAILURE","2020-05-29T18:02:43.805+01:00[Europe/London]","0.0","1.84"
"Product test with tags","This test will update the product information and verify the updated information","FAILURE","2020-05-29T18:02:44.256+01:00[Europe/London]","0.0","2.1"
"Product test with tags","This test will update the product information and verify the updated information","FAILURE","2020-05-29T18:02:44.256+01:00[Europe/London]","0.0","2.1"
"Store test with tags","This test will delete the store and verify the store is deleted ","ERROR","2020-05-29T18:02:45.685+01:00[Europe/London]","0.0","1.6"
"Product test with tags","This test will delete the product information and verify the product is deleted ","ERROR","2020-05-29T18:02:46.411+01:00[Europe/London]","0.0","1.23"
"Store test with tags","This test will get all product information ","SUCCESS","2020-05-29T18:02:47.323+01:00[Europe/London]","0.0","1.58"
"Product test with tags","This test will get all product information ","SUCCESS","2020-05-29T18:02:47.662+01:00[Europe/London]","0.0","3.29"
